radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TIC,TSM_Vmag_priority,X_priority,vip_rank
3,4,3,,HD 15337 c,2.39,17.1784,5125.0,28.931622056161576,,1.0,,2.1599753487382225,57.17752499413977,,,,,,
3,4,3,spoc,1301.01,2.485496,6.096347,4820.4,69.86427900000001,737.366742,0.0,11.337,2.801488005337756,50.419965753083396,25806.695143568017,0.0019537552357086654,356867115.0,,4.0,
3,4,3,spoc,1459.01,2.494909,9.155934,5219.0,66.150401,727.365787,0.0,11.031,2.2513062668376573,44.15762198564521,30146.768479348328,0.001464754738667756,16920150.0,,,
3,4,3,spoc,1244.01,2.528833,6.400148000000001,4599.0,56.438435,699.058451,0.0,11.929,2.9654299883372697,41.67233362538783,39731.46473511142,0.0010488496687251813,219850915.0,,,
3,4,3,,TOI-763 c,2.63,12.2737,5450.0,62.51498924353498,,1.0,,2.736209690454553,40.24098150508115,,,,,,
3,4,3,,HIP 116454 b,2.466,9.1205,5089.0,49.19477096832768,,1.0,,4.485826799648388,40.229560769461976,,,,,,
3,4,3,spoc,1798.01,2.387534,8.018944,5165.2,69.78833900000001,737.166286,0.0,11.361,2.2092790271513763,39.07427349814267,42423.72380014869,0.0009210477062837589,198153540.0,,,
3,4,3,spoc,2256.01,2.2841549999999997,13.961418,5270.9,46.758984000000005,666.938848,0.0,11.218,2.0495976998329675,33.383726174592944,43208.84685994644,0.0007726132169830909,262880065.0,,,
3,4,3,,Kepler-102 e,2.22,16.1457,4909.0,20.385,,1.0,,2.6047117582282784,16.273761426795318,,,,,,
3,4,3,,K2-110 b,2.56,13.86387,4950.0,25.790298606095963,,1.0,,5.394667145022591,14.482949970415726,,,,,,
3,4,3,,Kepler-80 b,2.67,7.052460000000001,4540.0,54.382,,1.0,,2.8553211863730805,13.615491150907806,,,,,,
3,4,4,,HD 136352 c,2.608,27.5909,5850.0,36.0,,1.0,,2.5487558863434017,181.80873137665637,,,,1.0,1.0,
3,4,4,,Kepler-96 b,2.67,16.2385,5690.0,57.523999999999994,,1.0,,2.140123866656196,29.964089995241768,,,,2.0,3.0,
3,4,4,,K2-292 b,2.63,16.9841,5725.0,67.0,,1.0,,6.1057041296186405,11.325664489544563,,,,3.0,2.0,
3,5,1,spoc,1724.01,1.980636,0.685081,3541.0,170.829533,922.062773,0.0,14.736,6.4878371494560705,89.88009100755097,110131.1174672783,0.0008161189414450078,81212286.0,2.0,1.0,
3,5,1,spoc,1289.01,2.201489,0.581322,3446.0,194.51781599999998,952.488181,0.0,15.73,8.098927977816802,84.92031650464857,176544.76836818704,0.0004810129311084758,408203470.0,3.0,3.0,
3,5,1,spoc,1284.01,2.558112,1.283251,3855.0,172.02529099999998,923.672099,0.0,14.182,6.194851445556747,52.67433242128192,72518.3866487956,0.0007263583051893053,267561446.0,1.0,2.0,
3,5,2,spoc,1683.01,2.390933,3.057601,4402.0,122.33382399999999,848.215857,0.0,10.97,3.5894823850368676,89.96943211995874,11211.049584122948,0.008025067719562419,58542531.0,1.0,1.0,
3,5,2,spoc,2274.01,2.0473,2.6797169999999997,3943.0,83.703633,771.4465230000001,0.0,11.995,3.1060120676893046,68.52297014844281,38486.07738097649,0.0017804612683732074,289164482.0,3.0,4.0,
3,5,2,spoc,1260.01,2.40109,3.12716,4225.0,103.280979,813.064195,0.0,11.922,3.6803831522967667,58.19918520542617,25628.539538354573,0.0022708740433034728,355867695.0,2.0,2.0,
3,5,2,spoc,1466.01,2.36637,1.871892,4201.0,233.875718,997.392351,0.0,12.189,4.260151058358091,53.202086548846225,24460.19577036184,0.0021750474545796823,237086564.0,,3.0,
3,5,2,spoc,1887.01,2.642185,2.200145,4250.0,164.327609,913.1610599999999,0.0,13.418,4.720661041065013,37.3241250804266,61788.0217357016,0.0006040673261895424,229586455.0,,5.0,
3,5,3,spoc,1835.01,2.34,5.64196,5297.0,119.41711799999999,843.1141849999999,0.0,8.419,2.3358220898642665,162.3264179330453,2525.9828855756105,0.06426267527780775,347332255.0,1.0,1.0,
3,5,3,spoc,544.01,2.3226419999999997,1.548214,4665.0,323.377022,1081.551089,0.0,10.777,4.061885068285758,138.15740460835565,7329.167794924398,0.018850353610956015,50618703.0,3.0,2.0,
3,5,3,spoc,1430.01,2.229178,7.434007000000001,5064.0,72.54644,744.344144,0.0,9.19,2.0531977439794935,97.36625675264416,6650.409217537028,0.01464064143540082,293954617.0,2.0,3.0,
3,5,3,,TOI-421 b,2.68,5.19672,5325.0,154.57,,1.0,,2.9551573923380263,88.60413680389918,,,,,,
3,5,3,spoc,2279.01,2.28867,3.1433619999999998,4962.0,221.933632,984.4088960000001,0.0,11.255999999999998,2.930166781050166,56.881395700845005,21894.006627696548,0.00259803500876301,115623434.0,,4.0,
3,5,3,spoc,556.01,1.9561099999999998,2.2941849999999997,5062.0,304.47891400000003,1065.391077,0.0,12.178,2.619521112369083,39.46413182850003,64042.181947206496,0.0006162209129762708,59003115.0,,,
3,5,3,spoc,1346.01,2.283409,5.5025379999999995,4965.0,102.66488199999999,811.8489400000001,0.0,11.693,2.4334500065083375,38.670709287852716,47475.01049488235,0.0008145487254188452,219852882.0,,5.0,
3,5,3,spoc,2078.01,2.538544,6.277248,5244.0,105.27802700000001,816.9663780000001,0.0,12.026,2.615820008477388,35.91267775517288,55833.41751472137,0.0006432111691121886,159244568.0,,,
3,5,3,spoc,1446.01,2.224311,6.31719,5180.0,108.319231,822.8035219999999,0.0,11.577,2.113507310456768,32.66159094700036,56559.0905442832,0.0005774773008669193,294471966.0,,,
3,5,3,,TOI-763 b,2.28,5.6057,5450.0,177.7372119260376,,1.0,,3.7321982656936776,32.4106418416248,,,,,,
3,5,3,,K2-285 b,2.59,3.471745,4975.0,234.31,,1.0,,4.636865941047357,30.201028115508862,,,,,,
3,5,3,spoc,2102.01,2.287659,6.706053999999999,5292.0,100.778543,808.093788,0.0,12.229,2.123454131308077,25.393261339047235,102146.65697329883,0.0002485961077089879,289590465.0,,,
3,5,4,spoc,1473.01,2.49336,5.255294,5958.0,299.625751,1061.120081,0.0,8.844,2.3622450732321285,97.25843389213215,3653.08706042042,0.02662362880586236,352413427.0,1.0,1.0,
3,5,4,spoc,266.01,2.407741,10.767807000000001,5784.0,104.770454,815.979892,0.0,10.07,2.0463466734692264,48.271159774097804,15057.452663616417,0.003205798540594867,164767175.0,2.0,2.0,
3,5,4,spoc,1269.01,2.375506,4.252905999999999,5591.0,231.207632,994.535503,0.0,11.618,3.3573020641543914,38.580230217980635,23277.111733421978,0.0016574320156132593,198241702.0,3.0,3.0,
3,5,4,spoc,1269.02,2.21196,9.237558,5591.0,82.194028,767.944467,0.0,11.618,2.296338389772766,27.15200023535891,49755.16302405648,0.0005457122152776586,198241702.0,,4.0,
3,5,4,spoc,1753.01,2.3844849999999997,5.3845019999999995,5700.0,238.003147,1001.764009,0.0,11.831,2.277633958414311,25.060447476376034,61537.814397712835,0.000407236554005848,289580577.0,,5.0,
3,5,4,,Kepler-19 b,2.209,9.28716,5544.0,93.537,,1.0,,2.667781510238364,13.371355055869591,,,,,,
3,5,5,,HD 106315 b,2.44,9.55237,6327.0,240.0,,1.0,,3.591696942370218,23.641838398226394,,,,1.0,1.0,
3,6,3,spoc,2111.01,2.458628,1.269342,5477.0,1427.166029,1567.61126,0.0,9.83,4.045549186199093,107.64839850916616,3088.552263598623,0.03485399932450544,356235833.0,1.0,1.0,
3,6,3,spoc,1783.01,2.282278,1.419866,5406.0,1263.183253,1520.4997019999998,0.0,9.919,3.4700550657786797,89.72053680359213,4556.5610455895385,0.019690405967552196,229938290.0,2.0,2.0,
3,6,3,spoc,1839.01,2.470334,1.424817,5382.69,920.9755779999999,1405.017644,0.0,10.9,3.9823791938596056,74.3769889267469,8539.347865290754,0.008709914398623045,381714186.0,3.0,3.0,
3,6,3,spoc,1346.02,2.12006,1.762256,4965.0,468.540893,1186.606232,0.0,11.693,3.1351139711475433,51.32243642572204,28602.451601356403,0.001794336972963821,219852882.0,,5.0,
3,6,3,spoc,506.01,2.582442,2.774207,5280.0,444.23102800000004,1170.905839,0.0,11.054,3.508205430312514,49.946920568313374,12680.60262852506,0.003938844393401115,274138511.0,,4.0,
3,6,3,spoc,494.01,2.329152,1.701876,4985.0,529.648142,1223.535608,0.0,10.845999999999998,2.004816225553779,40.002137261437554,32059.79855310023,0.0012477351407926825,19519368.0,,,
3,6,4,,HD 86226 c,2.16,3.9844199999999996,5863.0,476.84467224499,,1.0,,2.89112391000428,88.66354527571731,,,,3.0,5.0,
3,6,4,spoc,1727.01,2.27447,1.8327919999999998,5566.0,989.31202,1430.385408,0.0,10.312,3.0774535420668814,61.936222035327106,8320.068757270266,0.007444195936626824,241225337.0,2.0,1.0,
3,6,4,spoc,1669.01,2.248112,2.6794849999999997,5550.0,692.189753,1308.205712,0.0,10.218,2.6653802829503914,52.04444941124072,10171.653672788236,0.005116616342382249,428679607.0,1.0,2.0,
3,6,4,spoc,1610.01,2.5495919999999996,2.528739,5740.2,1017.612067,1440.506797,0.0,10.99,3.266454039755634,36.332828400227456,13789.763644180011,0.002634768030673374,219776325.0,,4.0,
3,6,4,spoc,1290.01,2.421951,5.400569,5875.23,447.06645999999995,1172.769795,0.0,10.077,2.264213883646124,35.91220026331714,12378.699721590941,0.002901128637984411,417676622.0,,3.0,
3,6,4,,Kepler-68 b,2.354,5.3988,5793.0,439.917,,1.0,,2.653772578631433,28.02852229103816,,,,,,
3,6,5,spoc,2301.01,2.5813900000000003,6.054114,6187.0,721.212923,1321.7083220000002,0.0,8.86,2.2620866138088638,45.544481191896274,4042.885732749891,0.011265339710929159,283829553.0,1.0,1.0,
3,6,5,spoc,2284.01,2.569292,4.968923,6109.0,510.564562,1212.362282,0.0,10.406,2.443833036606188,36.582388443367606,14386.888020212033,0.002542758961630429,115446313.0,2.0,2.0,
3,6,5,spoc,1445.02,2.401278,4.784248000000001,6240.0,438.80578899999995,1167.314383,0.0,10.931,2.134906013655526,30.072381666005718,30574.010127968744,0.0009835929778310585,259172391.0,3.0,3.0,
3,7,4,spoc,2265.01,2.4799189999999998,0.829408,5951.67,4983.613208,2142.9193760000003,0.0,9.706,2.615388780099113,59.58481333011692,6592.3068422371525,0.009038537609984236,310231275.0,1.0,1.0,
3,7,5,spoc,638.01,1.940277,0.49382600000000004,6030.0,8648.339203,2459.534554,0.0,9.475,3.33346348375405,98.19554456739691,3280.3374503527502,0.02993458632033039,78154865.0,1.0,1.0,
3,7,5,spoc,2262.01,1.956416,1.493765,6328.0,3092.417143,1901.9288559999998,0.0,10.977,2.1713424239802435,27.399930006020995,30835.663003740014,0.0008885792403003528,165530380.0,2.0,2.0,
4,2,1,spoc,1806.01,3.4095370000000003,15.145469,3272.0,2.147297,308.73990299999997,0.0,15.193,5.575863319157528,59.90602469370576,227135.8504850204,0.000263745351364762,166648874.0,1.0,1.0,
4,2,2,spoc,1759.01,3.279929,18.8481,3960.0,2.485872,320.250225,0.0,11.93,3.623382787333998,82.48605031728326,26636.76580934402,0.003096699160389346,408636441.0,1.0,1.0,
4,3,1,spoc,2015.01,3.378514,3.3458900000000003,3223.0,11.700891,471.709347,0.0,16.11,10.773560840827352,127.23878295027295,141576.57087814857,0.0008987276790294928,368287008.0,1.0,2.0,
4,3,1,spoc,2406.01,2.821595,3.0768560000000003,3163.0,6.6971169999999995,410.290745,0.0,,12.235271243731873,118.48810394391084,,,212957629.0,3.0,5.0,
