radius_bin,insol_bin,st_Teff_bin,Source Pipeline,Full TOI ID,Planet Radius Value,Orbital Period Value,Effective Temperature Value,Effective Stellar Flux Value,Planet Equilibrium Temperature (K) Value,mass_flag,V mag,K_amp,TSM,t_HIRES,X,TIC,TSM_Vmag_priority,X_priority,vip_rank
4,3,3,qlp,1791.01,4.4328199999999995,48.47912,6153.0,29.9208,651.0,0.0,9.6,2.861288897390824,16.151674882853712,4995.586770960593,0.003233188737055594,233684293.0,,,
4,3,3,,Kepler-1656 b,5.02,31.578659000000002,5731.0,30.039748964581232,,1.0,,9.657485736599133,15.795998809641913,,,,,,
4,3,3,,Kepler-359 d,4.01,77.095691,6248.0,11.846209099419465,,1.0,,0.3723925739720607,13.491017700255144,,,,,,
4,4,2,spoc,1179.01,4.955913,1.2615239999999999,4927.9,708.171641,1315.69245,0.0,10.879,14.844672947156907,209.4532932894839,602.7936360057619,0.3474709764312804,148914726.0,1.0,1.0,
4,4,2,,HAT-P-11 b,4.36,4.88780244,4780.0,100.77,,1.0,,11.59747550418559,192.60432348577743,,,,3.0,,
4,4,2,spoc,465.01,5.63586,3.8363169999999998,4910.0,146.636007,887.523592,0.0,11.559,12.478884765335154,132.9829143489227,1595.7262070059874,0.0833369244454752,270380593.0,2.0,3.0,
4,4,2,qlp,1701.01,4.94538,1.33418,4685.1,470.116,1297.0,0.0,11.728,15.431594048892944,116.35844434806954,1219.2375965994577,0.09543541363275025,274215536.0,,2.0,
4,4,2,spoc,1694.01,5.480027,3.7701300000000004,5058.0,195.28817,953.419593,0.0,11.446,11.926515417913087,116.04850176639216,1574.2829007161006,0.07371515101485553,396740648.0,,4.0,
4,4,2,,WASP-156 b,5.7170000000000005,3.8361690000000004,4910.0,150.0,,1.0,,18.69978472113305,92.64385668003428,,,,,,
4,4,2,spoc,1272.01,4.289363,3.3159970000000003,4972.7,217.52158300000002,979.4794710000001,0.0,11.758,8.322015336576463,78.39173117043164,4309.758179521729,0.018189357245823726,417948359.0,,5.0,
4,4,2,spoc,1472.01,4.3075980000000005,6.364103,5103.0,110.004112,825.984655,0.0,11.302,6.5903840117276085,71.84524527554501,4515.319480851542,0.0159114422756185,306955329.0,,,
4,4,3,qlp,422.01,4.9873400000000006,0.63322,5999.0,899.035,1525.0,0.0,9.512,15.419386203361775,204.93726121771718,158.62650437269005,1.2919484169948097,117979455.0,3.0,2.0,
4,4,3,spoc,1718.01,4.042342,5.586947,5378.0,182.580139,937.525594,0.0,8.96,5.858789364051732,174.40792773168545,660.8367052524661,0.263919855458172,257241363.0,2.0,4.0,
4,4,3,qlp,428.01,5.650519999999999,0.6332399999999999,5713.0,475.656,1301.0,0.0,8.437999999999999,20.59359960711268,170.39033466487862,33.070852999859184,5.152281214687875,117979850.0,1.0,1.0,
4,4,3,,Kepler-105 b,4.81,5.4122,5827.0,341.809,,1.0,,1.9121205055613208,149.48243765738366,,,,,,
4,4,3,spoc,1288.01,4.72907,2.700062,6180.0,691.796103,1308.019677,0.0,10.445,8.300525756608854,146.7794036522191,1292.7029002154193,0.11354457673743859,365733349.0,,,
4,4,3,,HD 219666 b,4.71,6.03607,5527.0,223.10386235481067,,1.0,,6.174218069131017,142.7711513645683,,,,,,
4,4,3,qlp,1538.01,5.628819999999999,6.54692,6034.0,483.652,1306.0,0.0,10.352,8.59131279017278,93.81630752911055,1107.620191626624,0.08470079205700845,177244357.0,,,
4,4,3,qlp,1483.01,5.92416,5.00626,6109.0,841.9639999999999,1500.0,0.0,10.97,10.147960931887773,87.17147720316393,1402.65980868187,0.06214726954006198,452803785.0,,,
4,4,3,qlp,1491.01,6.23728,4.4932099999999995,5899.0,368.967,1220.0,0.0,10.936,11.933080779074283,86.88999642615748,983.116002190817,0.08838224200656704,53875855.0,,,
4,4,3,spoc,1415.01,4.783583,14.419357999999999,6383.0,186.899216,943.0215539999999,0.0,8.86,4.598778311377298,83.1499479683019,978.19396082051,0.08500353845831929,148782377.0,,,
4,4,3,qlp,313.01,5.07097,3.2615,5963.0,403.29900000000004,1248.0,0.0,11.906,40.37049832507412,76.44388245097494,209.8851469109041,0.36421768560604834,9102327.0,,3.0,
4,4,3,qlp,320.01,5.43222,1.4650299999999998,5912.5,601.367,1379.0,0.0,13.001,19.23928015979454,76.29870222434234,2533.566386937753,0.030115138335318033,188593930.0,,,
4,4,3,spoc,1722.01,4.431151,9.606666,6137.0,175.792796,928.6883939999999,0.0,10.025,4.8840087775977565,74.88226049103216,2536.045579048008,0.029527174554623652,85242435.0,,,
4,4,3,spoc,1765.01,5.920291000000001,3.493918,5203.4,286.624481,1049.416938,0.0,12.478,13.573675272773576,73.29071201747703,3144.235130659128,0.023309551917039057,272672133.0,,,
4,4,3,qlp,1175.01,5.9840800000000005,7.5039,6229.0,168.93400000000003,1004.0,0.0,10.645,8.710598237271915,72.90460339179374,1411.2825124718968,0.05165840485339785,30329585.0,,,
